Region,Season,Crop,Production (tons),Area (hectares),Yield Ratio
Province 1,Summer (Monsoon),Maize,6387,315,2.61
Karnali,Whole Year,Rice,3226,355,4.22
Gandaki,Whole Year,Mustard,3570,396,2.43
Madhesh,Summer (Monsoon),Barley,2705,149,3.27
Sudurpashchim,Whole Year,Lentil,7012,690,3.59
Gandaki,Spring,Millet,9879,888,2.6
Karnali,Winter,Rice,5373,78,2.5
Sudurpashchim,Whole Year,Potato,2397,659,2.83
Sudurpashchim,Summer (Monsoon),Mustard,2052,201,3.82
Madhesh,Summer (Monsoon),Millet,5923,506,0.56
Karnali,Summer (Monsoon),Maize,6837,111,3.1
Gandaki,Spring,Mustard,7383,578,2.14
Madhesh,Winter,Maize,9595,669,2.86
Bagmati,Winter,Rice,3484,316,1.15
Province 1,Winter,Potato,9573,418,1.99
Bagmati,Winter,Potato,551,400,2.06
Province 1,Winter,Wheat,7872,475,1.79
Lumbini,Summer (Monsoon),Barley,2267,891,4.12
Province 1,Spring,Lentil,7410,197,1.32
Madhesh,Spring,Wheat,609,954,2.28
Karnali,Summer (Monsoon),Barley,4286,933,0.9
Province 1,Winter,Potato,5275,606,2.29
Madhesh,Spring,Maize,8562,210,3.17
Gandaki,Summer (Monsoon),Millet,6640,343,2.1
Lumbini,Whole Year,Rice,4157,145,1.33
Bagmati,Winter,Millet,4223,259,1.7
Karnali,Summer (Monsoon),Mustard,892,355,0.59
Lumbini,Whole Year,Lentil,1792,762,2.31
Province 1,Winter,Mustard,6218,7,2.2
Karnali,Whole Year,Barley,9820,992,1.93
Province 1,Whole Year,Maize,6440,385,4.86
Sudurpashchim,Summer (Monsoon),Lentil,6148,573,3.02
Sudurpashchim,Spring,Millet,1803,709,4.52
Province 1,Summer (Monsoon),Maize,6120,447,0.89
Karnali,Spring,Lentil,3308,497,3.45
Gandaki,Summer (Monsoon),Millet,3761,441,0.76
Province 1,Spring,Lentil,6180,866,4.13
Sudurpashchim,Spring,Millet,7422,270,3.49
Gandaki,Spring,Millet,1802,889,1.94
Bagmati,Winter,Wheat,4995,704,3.05
Bagmati,Whole Year,Wheat,6893,833,3.71
Gandaki,Summer (Monsoon),Rice,4331,905,3.37
Bagmati,Summer (Monsoon),Barley,6904,79,3.11
Lumbini,Summer (Monsoon),Wheat,2096,317,3.1
Karnali,Winter,Maize,3795,663,0.68
Province 1,Whole Year,Potato,9808,208,4.42
Gandaki,Whole Year,Potato,4644,480,1.39
Province 1,Spring,Lentil,3909,525,3.91
Karnali,Spring,Rice,8160,15,4.22
Madhesh,Summer (Monsoon),Lentil,3870,980,4.34
Sudurpashchim,Spring,Millet,4584,446,2.85
Lumbini,Spring,Millet,3938,460,2.58
Karnali,Summer (Monsoon),Mustard,2304,396,0.98
Sudurpashchim,Whole Year,Maize,3959,927,4.89
Sudurpashchim,Whole Year,Barley,1326,944,3.84
Karnali,Whole Year,Mustard,8392,631,3.79
Madhesh,Spring,Wheat,233,242,3.57
Sudurpashchim,Winter,Maize,1573,999,1.01
Bagmati,Spring,Maize,8134,678,1.01
Lumbini,Summer (Monsoon),Millet,4884,44,3.75
Province 1,Spring,Rice,3260,441,4.37
Lumbini,Spring,Mustard,5852,973,2.6
Province 1,Whole Year,Rice,7629,68,3.19
Bagmati,Summer (Monsoon),Barley,2562,246,3.79
Gandaki,Winter,Wheat,1320,569,2.41
Gandaki,Summer (Monsoon),Rice,4902,10,2.26
Sudurpashchim,Whole Year,Maize,3749,261,4.02
Gandaki,Summer (Monsoon),Mustard,3773,915,4.09
Province 1,Winter,Potato,2106,492,2.08
Karnali,Whole Year,Wheat,7524,39,2.72
Lumbini,Summer (Monsoon),Lentil,4364,260,1.51
Gandaki,Whole Year,Lentil,6355,402,3.65
Karnali,Winter,Potato,4444,977,1.3
Lumbini,Spring,Mustard,3403,625,4.05
Province 1,Whole Year,Barley,156,408,2.59
Karnali,Winter,Rice,1913,376,3.32
Gandaki,Spring,Maize,1813,355,4.56
Gandaki,Winter,Wheat,581,654,3.82
Bagmati,Spring,Potato,858,242,0.7
Madhesh,Whole Year,Wheat,5658,852,0.65
Gandaki,Spring,Potato,3093,88,3.31
Lumbini,Spring,Millet,8660,237,1.59
Lumbini,Spring,Millet,3223,44,1.79
Bagmati,Summer (Monsoon),Lentil,9356,113,4.1
Madhesh,Spring,Rice,2345,260,4.09
Lumbini,Spring,Lentil,4783,204,2.39
Bagmati,Winter,Lentil,1381,463,0.53
Madhesh,Spring,Wheat,776,470,2.98
Bagmati,Whole Year,Lentil,3862,909,3.32
Gandaki,Whole Year,Wheat,6993,69,3.06
Gandaki,Whole Year,Millet,1031,845,3.33
Sudurpashchim,Spring,Potato,5962,109,1.68
Bagmati,Spring,Barley,4947,229,2.33
Karnali,Spring,Millet,884,605,3.69
Madhesh,Summer (Monsoon),Mustard,490,899,3.34
Madhesh,Summer (Monsoon),Potato,4540,210,4.69
Madhesh,Summer (Monsoon),Potato,5793,115,4.72
Province 1,Summer (Monsoon),Potato,7288,927,3.8
Sudurpashchim,Whole Year,Millet,9946,763,3.19
Bagmati,Whole Year,Wheat,3189,447,2.74
Lumbini,Whole Year,Potato,1758,395,0.56
Bagmati,Winter,Maize,8248,160,1.65
Karnali,Spring,Barley,1990,222,1.53
Sudurpashchim,Winter,Millet,5098,523,1.76
Karnali,Whole Year,Potato,5323,352,2.73
Karnali,Summer (Monsoon),Potato,2470,259,0.99
Bagmati,Summer (Monsoon),Wheat,7208,824,1.36
Madhesh,Whole Year,Lentil,1137,707,1.74
Karnali,Spring,Maize,8945,301,2.51
Karnali,Winter,Millet,6186,103,1.38
Lumbini,Whole Year,Mustard,3631,195,2.67
Gandaki,Summer (Monsoon),Maize,1390,367,2.57
Province 1,Whole Year,Maize,4537,780,2.36
Karnali,Winter,Mustard,6412,895,4.58
Province 1,Spring,Wheat,3832,626,3.86
Karnali,Winter,Rice,6672,671,1.22
Karnali,Whole Year,Lentil,9602,143,1.48
Karnali,Winter,Maize,5838,112,0.98
Sudurpashchim,Spring,Lentil,6281,286,2.09
Karnali,Spring,Potato,1780,911,4.61
Lumbini,Spring,Mustard,5672,701,1.51
Sudurpashchim,Spring,Mustard,8338,320,1.14
Province 1,Summer (Monsoon),Barley,1156,947,1.47
Gandaki,Winter,Barley,3932,136,2.56
Karnali,Winter,Millet,3887,178,1.49
Gandaki,Spring,Maize,9874,177,4.87
Lumbini,Spring,Potato,6673,247,2.42
Gandaki,Summer (Monsoon),Mustard,9479,726,3.73
Madhesh,Spring,Millet,4966,648,3.98
Sudurpashchim,Whole Year,Rice,6248,933,2.24
Sudurpashchim,Whole Year,Maize,5878,411,2.21
Gandaki,Winter,Wheat,4297,181,4.36
Bagmati,Summer (Monsoon),Rice,4824,737,0.9
Gandaki,Winter,Potato,6287,360,1.95
Province 1,Winter,Mustard,3841,970,1.63
Sudurpashchim,Winter,Mustard,9484,340,4.29
Bagmati,Summer (Monsoon),Wheat,9838,664,2.55
Province 1,Spring,Mustard,9309,345,1.44
Lumbini,Whole Year,Rice,6437,997,0.5
Province 1,Summer (Monsoon),Mustard,9460,273,2.34
Gandaki,Summer (Monsoon),Barley,8922,363,3.09
Gandaki,Whole Year,Millet,6853,90,3.58
Madhesh,Whole Year,Mustard,8831,311,4.83
Karnali,Spring,Wheat,2142,550,1.06
Province 1,Whole Year,Millet,5120,213,4.33
Sudurpashchim,Whole Year,Potato,7280,850,2.19
Sudurpashchim,Summer (Monsoon),Lentil,3702,280,4.81
Bagmati,Summer (Monsoon),Millet,6170,936,0.68
Gandaki,Winter,Wheat,3002,615,1.53
Gandaki,Winter,Millet,1188,447,2.74
Sudurpashchim,Winter,Mustard,6947,602,0.78
Karnali,Winter,Millet,6804,177,0.9
Gandaki,Summer (Monsoon),Barley,6059,863,2.88
Karnali,Spring,Mustard,4283,744,0.84
Gandaki,Winter,Millet,636,531,2.37
Sudurpashchim,Whole Year,Maize,5576,605,4.3
Bagmati,Whole Year,Millet,8282,496,3.43
Karnali,Winter,Wheat,1948,400,1.96
Province 1,Whole Year,Rice,8647,927,2.98
Province 1,Winter,Mustard,8571,194,4.25
Sudurpashchim,Whole Year,Maize,6437,425,1.82
Karnali,Winter,Lentil,4827,533,2.57
Gandaki,Whole Year,Mustard,2081,549,2.65
Lumbini,Spring,Millet,8421,468,0.97
Lumbini,Summer (Monsoon),Potato,8705,534,3.99
Province 1,Winter,Maize,9861,432,4.99
Sudurpashchim,Winter,Mustard,4203,992,3.97
Gandaki,Whole Year,Maize,9803,964,4.92
Province 1,Spring,Rice,7723,611,4.97
Bagmati,Spring,Wheat,3104,15,0.68
Madhesh,Spring,Wheat,2229,660,3.11
Sudurpashchim,Winter,Millet,213,850,2.35
Gandaki,Spring,Lentil,3178,750,1.99
Province 1,Winter,Mustard,1168,472,2.18
Province 1,Winter,Rice,5996,947,1.56
Sudurpashchim,Summer (Monsoon),Lentil,6843,625,4.69
Madhesh,Spring,Wheat,6797,504,1.63
Karnali,Summer (Monsoon),Millet,7150,193,4.76
Sudurpashchim,Summer (Monsoon),Millet,6392,554,2.91
Karnali,Summer (Monsoon),Millet,2655,54,4.0
Bagmati,Summer (Monsoon),Potato,6695,397,1.8
Province 1,Summer (Monsoon),Barley,8918,483,1.28
Bagmati,Summer (Monsoon),Maize,4839,184,3.61
Bagmati,Whole Year,Mustard,9119,737,4.99
Bagmati,Spring,Mustard,3804,587,1.87
Karnali,Summer (Monsoon),Wheat,1732,127,1.72
Karnali,Winter,Wheat,2436,400,4.21
Gandaki,Summer (Monsoon),Barley,4631,164,3.06
Province 1,Winter,Rice,857,488,2.79
Sudurpashchim,Whole Year,Mustard,7850,263,4.99
Gandaki,Spring,Maize,8963,210,1.23
Madhesh,Spring,Mustard,6354,893,3.18
Madhesh,Winter,Lentil,7197,583,1.52
Karnali,Summer (Monsoon),Mustard,2157,235,4.68
Sudurpashchim,Summer (Monsoon),Rice,698,194,3.88
Gandaki,Spring,Maize,5476,921,4.66
Karnali,Whole Year,Barley,4910,133,2.52
Gandaki,Whole Year,Mustard,1636,861,2.78
Lumbini,Summer (Monsoon),Millet,1486,652,4.5
Madhesh,Winter,Mustard,7337,274,3.52
Sudurpashchim,Winter,Potato,3392,543,1.64
Madhesh,Winter,Lentil,6813,606,2.88
Sudurpashchim,Winter,Mustard,3084,813,0.96
Gandaki,Spring,Mustard,590,195,1.81
Bagmati,Winter,Barley,7949,479,2.47
Lumbini,Winter,Potato,6108,478,3.97
Sudurpashchim,Whole Year,Barley,2965,485,1.18
Lumbini,Whole Year,Wheat,1282,307,3.11
Madhesh,Whole Year,Wheat,8965,406,2.33
Gandaki,Spring,Millet,5143,30,2.17
Province 1,Winter,Potato,5156,221,1.01
Province 1,Whole Year,Potato,7021,759,2.51
Province 1,Spring,Lentil,3908,976,0.8
Lumbini,Winter,Rice,6832,732,4.59
Sudurpashchim,Whole Year,Mustard,5028,508,3.68
Lumbini,Summer (Monsoon),Barley,8398,985,4.06
Madhesh,Spring,Millet,6663,819,1.56
Bagmati,Whole Year,Mustard,9137,66,2.68
Gandaki,Summer (Monsoon),Barley,2403,865,1.09
Province 1,Spring,Maize,6282,593,3.55
Gandaki,Whole Year,Maize,1806,213,2.01
Madhesh,Whole Year,Barley,9605,171,4.67
Sudurpashchim,Summer (Monsoon),Lentil,6879,742,4.93
Lumbini,Winter,Rice,181,124,1.69
Lumbini,Spring,Barley,9109,996,1.98
Karnali,Whole Year,Barley,5184,401,4.91
Bagmati,Winter,Rice,1287,251,2.63
Bagmati,Winter,Mustard,7287,642,3.28
Bagmati,Whole Year,Mustard,2488,699,3.7
Province 1,Winter,Maize,3431,756,2.85
Gandaki,Spring,Wheat,2641,241,3.54
Karnali,Whole Year,Lentil,1588,403,3.97
Province 1,Whole Year,Potato,601,809,1.91
Bagmati,Winter,Barley,2854,554,4.04
Sudurpashchim,Spring,Millet,3941,218,3.07
Province 1,Summer (Monsoon),Barley,3822,596,4.17
Karnali,Spring,Lentil,6627,691,3.05
Bagmati,Whole Year,Maize,9145,372,4.71
Madhesh,Winter,Maize,9161,184,2.3
Province 1,Spring,Millet,7250,164,3.32
Gandaki,Summer (Monsoon),Millet,3222,140,1.28
Karnali,Summer (Monsoon),Barley,1478,999,2.4
Karnali,Winter,Maize,3871,184,1.88
Bagmati,Whole Year,Lentil,1668,215,1.07
Bagmati,Summer (Monsoon),Wheat,2384,158,3.53
Karnali,Summer (Monsoon),Maize,812,86,2.62
Karnali,Whole Year,Maize,3768,552,1.59
Sudurpashchim,Summer (Monsoon),Barley,2191,764,1.37
Bagmati,Summer (Monsoon),Rice,3543,438,2.97
Karnali,Summer (Monsoon),Potato,7631,30,2.25
Gandaki,Whole Year,Wheat,8119,977,4.79
Gandaki,Spring,Barley,6501,527,2.76
Gandaki,Summer (Monsoon),Maize,178,415,4.27
Lumbini,Whole Year,Mustard,9424,707,3.29
Bagmati,Spring,Millet,5565,506,1.86
Sudurpashchim,Summer (Monsoon),Barley,8751,349,2.05
Karnali,Whole Year,Millet,3969,716,1.69
Sudurpashchim,Spring,Wheat,2001,465,1.17
Sudurpashchim,Spring,Barley,1201,812,4.54
Madhesh,Summer (Monsoon),Barley,9569,606,4.29
Karnali,Summer (Monsoon),Wheat,153,726,3.31
Sudurpashchim,Spring,Millet,2363,928,2.88
Gandaki,Spring,Potato,5416,499,1.35
Bagmati,Winter,Barley,9928,885,2.05
Bagmati,Summer (Monsoon),Millet,4648,59,4.65
Sudurpashchim,Whole Year,Potato,278,581,0.66
Lumbini,Winter,Millet,8084,668,0.8
Lumbini,Winter,Wheat,4799,416,1.8
Madhesh,Winter,Wheat,3238,521,4.73
Madhesh,Winter,Lentil,1945,761,3.23
Province 1,Winter,Maize,8526,715,3.67
Karnali,Spring,Barley,104,665,2.93
Madhesh,Spring,Rice,5783,224,1.47
Sudurpashchim,Summer (Monsoon),Maize,6531,589,4.27
Karnali,Spring,Mustard,5830,205,3.78
Karnali,Summer (Monsoon),Lentil,4637,17,1.95
Karnali,Spring,Millet,3395,803,2.51
Gandaki,Spring,Mustard,106,509,2.63
Madhesh,Summer (Monsoon),Potato,814,645,3.07
Sudurpashchim,Summer (Monsoon),Barley,1749,730,1.06
Sudurpashchim,Whole Year,Rice,7363,242,4.5
Madhesh,Summer (Monsoon),Mustard,410,119,1.75
Bagmati,Spring,Millet,2735,346,3.66
Karnali,Winter,Maize,778,964,2.35
Sudurpashchim,Spring,Barley,1420,895,4.14
Karnali,Winter,Mustard,866,988,0.73
Madhesh,Winter,Lentil,9779,389,4.06
Sudurpashchim,Spring,Wheat,1051,229,2.1
Bagmati,Winter,Potato,9275,756,0.8
Lumbini,Winter,Lentil,9711,453,3.37
Madhesh,Whole Year,Potato,5316,759,0.64
Gandaki,Spring,Lentil,402,970,2.31
Karnali,Spring,Barley,5312,933,4.38
Sudurpashchim,Spring,Wheat,4147,455,0.5
Karnali,Whole Year,Millet,746,928,4.28
Karnali,Spring,Wheat,7836,927,2.94
Karnali,Spring,Wheat,9546,779,2.25
Madhesh,Winter,Potato,7401,991,4.98
Bagmati,Summer (Monsoon),Rice,5842,315,0.85
Gandaki,Winter,Millet,6535,265,2.6
Gandaki,Spring,Potato,9659,678,1.0
Madhesh,Spring,Lentil,5572,990,3.77
Bagmati,Whole Year,Lentil,4314,23,3.0
Karnali,Summer (Monsoon),Barley,8986,369,3.05
Karnali,Winter,Wheat,3812,1,4.51
Gandaki,Whole Year,Wheat,7233,185,2.49
Sudurpashchim,Spring,Maize,1498,928,2.69
Lumbini,Whole Year,Barley,3862,424,3.7
Karnali,Whole Year,Millet,2187,25,0.87
Karnali,Whole Year,Wheat,7943,601,2.89
Karnali,Summer (Monsoon),Barley,492,294,1.57
Sudurpashchim,Summer (Monsoon),Potato,4931,373,3.32
Sudurpashchim,Whole Year,Barley,793,186,2.43
Bagmati,Whole Year,Wheat,3109,664,0.59
Karnali,Spring,Wheat,6293,109,2.32
Madhesh,Spring,Maize,430,85,2.37
Bagmati,Winter,Barley,4453,10,2.63
Province 1,Summer (Monsoon),Rice,5383,805,4.66
Gandaki,Summer (Monsoon),Wheat,7867,966,3.86
Karnali,Winter,Lentil,7415,439,4.43
Gandaki,Winter,Wheat,6287,290,3.38
Sudurpashchim,Spring,Wheat,1514,896,2.03
Gandaki,Winter,Millet,4180,985,4.72
Sudurpashchim,Whole Year,Lentil,2437,637,4.4
Madhesh,Whole Year,Maize,9038,172,1.89
Sudurpashchim,Winter,Mustard,2353,262,2.38
Gandaki,Summer (Monsoon),Potato,1368,322,4.06
Madhesh,Summer (Monsoon),Millet,8360,190,2.31
Sudurpashchim,Whole Year,Wheat,5206,928,0.59
Madhesh,Spring,Maize,2867,393,4.69
Karnali,Whole Year,Mustard,9385,719,3.99
Province 1,Winter,Maize,7732,506,2.07
Karnali,Whole Year,Lentil,9249,108,4.65
Province 1,Winter,Rice,4005,770,2.23
Province 1,Whole Year,Rice,4592,142,3.49
Madhesh,Spring,Lentil,9069,723,3.66
Lumbini,Winter,Potato,9874,390,4.18
Madhesh,Whole Year,Wheat,5587,944,1.76
Sudurpashchim,Whole Year,Barley,2858,47,4.14
Bagmati,Summer (Monsoon),Maize,6314,336,4.06
Province 1,Whole Year,Potato,682,67,3.74
Gandaki,Summer (Monsoon),Rice,9847,358,0.75
Lumbini,Whole Year,Potato,5509,627,2.53
Karnali,Winter,Millet,4161,888,3.63
Sudurpashchim,Spring,Barley,2153,90,0.54
Gandaki,Summer (Monsoon),Maize,1454,543,4.39
Sudurpashchim,Winter,Mustard,2484,45,3.32
Madhesh,Whole Year,Wheat,5402,133,2.47
Bagmati,Spring,Barley,956,904,3.18
Madhesh,Winter,Rice,9339,856,2.04
Madhesh,Winter,Mustard,3202,893,2.1
Bagmati,Summer (Monsoon),Mustard,1272,887,4.55
Karnali,Summer (Monsoon),Wheat,3356,484,0.79
Sudurpashchim,Winter,Wheat,3051,627,3.72
Province 1,Whole Year,Millet,773,986,2.02
Lumbini,Winter,Maize,5642,469,4.17
Gandaki,Whole Year,Millet,9850,276,1.42
Lumbini,Whole Year,Mustard,9143,334,1.62
Lumbini,Spring,Lentil,7757,26,3.86
Gandaki,Summer (Monsoon),Wheat,5368,3,3.15
Lumbini,Spring,Maize,5973,278,3.24
Province 1,Summer (Monsoon),Maize,1007,572,4.88
Province 1,Summer (Monsoon),Maize,6145,848,4.74
Bagmati,Whole Year,Maize,3853,553,4.65
Province 1,Summer (Monsoon),Barley,3126,1,4.1
Gandaki,Spring,Barley,5104,384,1.24
Bagmati,Winter,Maize,135,605,4.42
Province 1,Winter,Millet,3109,663,2.24
Province 1,Winter,Potato,4328,19,4.68
Province 1,Spring,Lentil,4480,363,0.82
Sudurpashchim,Winter,Barley,5498,28,1.03
Gandaki,Spring,Mustard,3091,586,4.95
Madhesh,Whole Year,Maize,4775,203,3.21
Karnali,Spring,Potato,9355,208,2.96
Bagmati,Winter,Millet,8309,661,0.78
Sudurpashchim,Winter,Wheat,9512,846,0.89
Lumbini,Spring,Maize,7248,345,2.52
Province 1,Winter,Wheat,939,853,3.7
Sudurpashchim,Summer (Monsoon),Mustard,2493,506,2.16
Province 1,Spring,Wheat,9463,50,3.61
Karnali,Whole Year,Mustard,9071,141,0.75
Karnali,Spring,Maize,6300,319,0.86
Karnali,Winter,Maize,7020,995,2.26
Gandaki,Summer (Monsoon),Barley,1109,683,2.8
Karnali,Winter,Wheat,3516,338,1.52
Bagmati,Winter,Maize,7805,153,3.06
Province 1,Whole Year,Maize,3925,199,3.64
Province 1,Winter,Rice,7073,302,2.84
Province 1,Winter,Rice,1050,359,3.86
Bagmati,Winter,Rice,6971,909,4.68
Madhesh,Spring,Maize,2085,890,0.81
Gandaki,Summer (Monsoon),Millet,9569,509,0.74
Bagmati,Whole Year,Wheat,6942,525,3.31
Province 1,Spring,Barley,6196,235,1.19
Sudurpashchim,Spring,Millet,2091,901,3.83
Madhesh,Summer (Monsoon),Potato,9894,300,1.49
Madhesh,Summer (Monsoon),Rice,7345,714,3.21
Bagmati,Spring,Millet,6388,84,1.87
Bagmati,Spring,Millet,7686,416,0.62
Bagmati,Spring,Millet,5749,413,5.0
Madhesh,Spring,Wheat,9184,924,4.56
Madhesh,Spring,Barley,6142,748,4.86
Madhesh,Spring,Barley,3070,85,2.83
Province 1,Whole Year,Potato,203,86,1.71
Madhesh,Summer (Monsoon),Potato,4317,913,4.62
Bagmati,Whole Year,Mustard,6229,942,1.43
Karnali,Spring,Maize,8520,172,1.58
Karnali,Whole Year,Mustard,8438,71,3.68
Karnali,Spring,Potato,4480,255,2.99
Gandaki,Summer (Monsoon),Rice,7191,165,1.39
Madhesh,Winter,Barley,9516,933,3.08
Sudurpashchim,Winter,Lentil,9927,988,4.77
Madhesh,Winter,Millet,8862,894,2.54
Sudurpashchim,Summer (Monsoon),Maize,7123,154,1.91
Karnali,Whole Year,Millet,7855,559,1.1
Province 1,Summer (Monsoon),Lentil,8642,116,4.36
Karnali,Summer (Monsoon),Potato,5935,364,3.2
Karnali,Winter,Potato,2722,600,3.9
Lumbini,Winter,Millet,327,715,3.86
Karnali,Whole Year,Lentil,1255,33,4.22
Province 1,Winter,Maize,1430,761,2.51
Lumbini,Spring,Barley,2338,260,3.55
Sudurpashchim,Winter,Rice,6630,64,1.7
Gandaki,Whole Year,Wheat,5862,455,2.98
Lumbini,Summer (Monsoon),Barley,8437,769,1.04
Bagmati,Summer (Monsoon),Rice,3309,332,1.9
Bagmati,Winter,Potato,4923,436,1.1
Madhesh,Whole Year,Maize,810,73,3.08
Lumbini,Spring,Mustard,8430,983,1.32
Sudurpashchim,Winter,Mustard,3679,193,2.88
Bagmati,Spring,Millet,4806,114,0.73
Sudurpashchim,Whole Year,Mustard,1440,562,0.78
Karnali,Summer (Monsoon),Mustard,9467,45,3.76
Madhesh,Winter,Barley,9177,963,2.05
Bagmati,Winter,Mustard,6524,544,3.6
Madhesh,Summer (Monsoon),Millet,547,438,3.79
Bagmati,Whole Year,Lentil,8892,401,4.16
Lumbini,Spring,Maize,2272,480,3.28
Sudurpashchim,Summer (Monsoon),Maize,4558,796,4.11
Lumbini,Winter,Mustard,6898,17,4.32
Province 1,Whole Year,Maize,1432,722,2.2
Madhesh,Spring,Barley,2755,199,3.14
Sudurpashchim,Whole Year,Rice,2069,92,2.46
Sudurpashchim,Winter,Millet,9965,755,1.29
Province 1,Whole Year,Maize,8964,648,3.62
Bagmati,Winter,Millet,8276,996,0.61
Karnali,Whole Year,Mustard,8306,461,4.75
Lumbini,Spring,Rice,761,247,2.5
Madhesh,Winter,Barley,4152,673,4.97
Lumbini,Spring,Mustard,1882,871,2.84
Lumbini,Whole Year,Lentil,7639,85,1.17
Sudurpashchim,Winter,Mustard,1921,249,0.8
Karnali,Summer (Monsoon),Rice,7829,860,1.09
Madhesh,Summer (Monsoon),Mustard,6769,522,2.73
Gandaki,Whole Year,Mustard,5742,476,4.0
Province 1,Summer (Monsoon),Maize,2964,437,2.22
Bagmati,Winter,Wheat,7399,211,0.67
Lumbini,Winter,Mustard,1877,854,3.51
Province 1,Spring,Wheat,946,433,3.0
Bagmati,Spring,Millet,8093,171,4.85
Province 1,Spring,Barley,9124,577,4.18
Province 1,Whole Year,Barley,1623,4,4.28
Sudurpashchim,Summer (Monsoon),Barley,8784,454,0.93
Madhesh,Winter,Barley,5284,701,3.44
Province 1,Summer (Monsoon),Millet,1294,521,4.5
Madhesh,Whole Year,Millet,6293,368,2.92
Karnali,Spring,Lentil,7854,562,4.82
Gandaki,Whole Year,Wheat,2372,918,2.77
Karnali,Whole Year,Wheat,4405,48,2.25
Gandaki,Whole Year,Potato,7323,870,2.99
Province 1,Spring,Barley,8032,177,1.95
Province 1,Winter,Potato,6251,400,1.75
Bagmati,Spring,Mustard,3921,657,3.19
Bagmati,Spring,Barley,9372,599,3.8
Madhesh,Winter,Millet,254,808,3.08
Gandaki,Winter,Lentil,7236,331,4.73
Bagmati,Summer (Monsoon),Barley,7571,828,0.64
Bagmati,Spring,Potato,2808,345,3.96
Lumbini,Whole Year,Barley,884,81,1.48
Gandaki,Spring,Barley,1099,698,2.15
Lumbini,Summer (Monsoon),Barley,7758,257,3.34
Gandaki,Whole Year,Mustard,6081,65,3.81
Lumbini,Whole Year,Maize,8554,224,4.14
Province 1,Spring,Lentil,9046,316,0.82
Bagmati,Whole Year,Potato,4251,288,1.68
Gandaki,Whole Year,Mustard,4222,183,1.63
Karnali,Summer (Monsoon),Lentil,7703,203,3.26
Bagmati,Spring,Millet,6620,862,1.2
Sudurpashchim,Summer (Monsoon),Lentil,6593,340,3.61
Bagmati,Winter,Lentil,7837,97,3.66
Gandaki,Spring,Lentil,2254,221,2.71
Sudurpashchim,Whole Year,Wheat,7423,174,0.51
Madhesh,Summer (Monsoon),Maize,7424,118,2.51
Province 1,Winter,Potato,990,57,1.21
Gandaki,Spring,Rice,1133,597,1.56
Karnali,Whole Year,Millet,3605,226,2.69
Sudurpashchim,Winter,Rice,4993,3,4.34
Sudurpashchim,Spring,Wheat,8886,786,2.84
Karnali,Summer (Monsoon),Millet,3739,333,4.66
Province 1,Winter,Maize,4159,677,1.3
Sudurpashchim,Winter,Barley,1978,767,0.58
Bagmati,Summer (Monsoon),Mustard,6351,258,3.48
Province 1,Whole Year,Wheat,8230,552,2.65
Madhesh,Whole Year,Barley,9083,974,4.8
Sudurpashchim,Winter,Maize,7498,882,2.88
Gandaki,Whole Year,Barley,5682,793,3.7
Bagmati,Winter,Rice,7473,96,4.63
Gandaki,Whole Year,Lentil,2209,870,3.78
Gandaki,Winter,Millet,2679,418,4.02
Province 1,Spring,Barley,9192,5,0.81
Lumbini,Whole Year,Mustard,2692,369,0.96
Lumbini,Winter,Wheat,6878,333,4.94
Sudurpashchim,Whole Year,Wheat,168,924,4.54
Karnali,Winter,Millet,7591,570,2.73
Gandaki,Whole Year,Potato,714,187,2.95
Lumbini,Whole Year,Wheat,213,884,3.64
Karnali,Spring,Millet,9297,71,1.16
Sudurpashchim,Spring,Barley,8810,640,2.55
Karnali,Summer (Monsoon),Mustard,763,403,1.58
Karnali,Spring,Potato,3562,960,3.25
Sudurpashchim,Summer (Monsoon),Barley,1456,593,2.16
Karnali,Winter,Millet,4576,922,4.81
Madhesh,Summer (Monsoon),Maize,4050,487,4.39
Sudurpashchim,Whole Year,Lentil,2915,401,4.65
Gandaki,Winter,Wheat,7503,903,1.2
Lumbini,Whole Year,Barley,8556,471,2.55
Madhesh,Summer (Monsoon),Barley,9806,389,0.74
Madhesh,Winter,Millet,2820,23,1.04
Karnali,Winter,Mustard,9839,733,1.12
Lumbini,Spring,Wheat,1420,250,4.4
Karnali,Spring,Maize,8944,309,4.13
Sudurpashchim,Spring,Barley,125,270,2.4
Karnali,Winter,Barley,2664,91,4.89
Karnali,Winter,Maize,8183,162,3.22
Lumbini,Winter,Maize,1869,759,0.93
Province 1,Spring,Potato,8300,25,4.47
Lumbini,Spring,Barley,295,496,0.9
Sudurpashchim,Summer (Monsoon),Potato,5710,75,1.61
Karnali,Spring,Potato,2362,837,1.39
Bagmati,Winter,Lentil,8640,705,3.8
Gandaki,Winter,Potato,470,829,0.79
Lumbini,Summer (Monsoon),Maize,9831,903,1.74
Sudurpashchim,Summer (Monsoon),Mustard,7255,157,1.36
Gandaki,Spring,Barley,4242,390,3.2
Madhesh,Winter,Millet,6984,85,1.91
Bagmati,Whole Year,Barley,7471,631,0.73
Sudurpashchim,Summer (Monsoon),Potato,6879,134,4.03
Sudurpashchim,Winter,Mustard,5496,420,4.47
Province 1,Whole Year,Rice,2283,159,4.33
Madhesh,Winter,Potato,6848,688,0.85
Gandaki,Winter,Lentil,7388,126,4.9
Lumbini,Summer (Monsoon),Rice,3931,975,2.34
